"시설번호","지역코드","시설일련번호","시도명","시군구명","수용시설명","법정동코드","행정동코드","상세주소","시설면적","경도","위도","X좌표","Y좌표"
"1114","1147000000","101","서울특별시","양천구","신트리공원","1147010100","1147062000","서울특별시 양천구 목동동로 3(신정동)","500","126.856524","37.514636","187315.559291","546138.249592"
"1115","1147000000","102","서울특별시","양천구","신서중학교 운동장","1147010100","1147062000","서울특별시 양천구 신정동 310-6","6000","126.855917","37.515395","187262.034861","546222.524573"
"1116","1147000000","103","서울특별시","양천구","신서초등학교 운동장","1147010100","1147062000","서울특별시 양천구 신정동 312-1","4900","126.862549","37.520137","187849.114843","546747.996251"
"1117","1147000000","104","서울특별시","양천구","양명초등학교 운동장","1147010100","1147062000","서울특별시 양천구 신정동 310-6","2400","126.856694","37.515680","187330.725082","546254.031253"
"1118","1147000000","105","서울특별시","양천구","목동중학교 운동장","1147010100","1147063000","서울특별시 양천구 목동동로 172(신정동)","4451","126.871362","37.520474","188628.208079","546784.257326"
"1119","1147000000","106","서울특별시","양천구","목동초등학교 운동장","1147010100","1147063000","서울특별시 양천구 목동동로12길 12(신정동)","1746","126.872091","37.522491","188693.006582","547007.998584"
"1120","1147000000","107","서울특별시","양천구","신목초등학교 운동장","1147010100","1147063000","서울특별시 양천구 신목로5길 11-6 (신정동)","1555","126.872907","37.516891","188764.246806","546386.453203"
"1121","1147000000","108","서울특별시","양천구","신세계어린이공원","1147010100","1147063000","서울특별시 양천구 신정동 119-3","520","126.875875","37.521729","189027.331730","546922.959717"
"1122","1147000000","110","서울특별시","양천구","금옥중학교 운동장","1147010100","1147064000","서울특별시 양천구 신정동 729","2750","126.844253","37.510077","186229.881459","545633.989517"
"1123","1147000000","111","서울특별시","양천구","남명초등학교 운동장","1147010100","1147064000","서울특별시 양천구 중앙로23길 3(신정동)","5900","126.853986","37.514985","187091.258026","546177.313738"
"1124","1147000000","112","서울특별시","양천구","넓은들어린이공원","1147010100","1147064000","서울특별시 양천구 남부순환로88길 19(신정동)","3288","126.839079","37.511174","185772.569259","545756.420626"
"1125","1147000000","113","서울특별시","양천구","넘은들공원","1147010100","1147062000","서울특별시 양천구 신정동 1286","16159","126.840473","37.512995","185896.219291","545958.408281"
"1126","1147000000","114","서울특별시","양천구","신기초등학교 운동장","1147010100","1147064000","서울특별시 양천구 신정동 1274","6440","126.854182","37.510962","187107.904170","545730.770765"
"1127","1147000000","115","서울특별시","양천구","신은초등학교 운동장","1147010100","1147064000","서울특별시 양천구 신정동 1319","1200","126.832510","37.513427","185192.251118","546007.545615"
"1128","1147000000","116","서울특별시","양천구","신서고등학교  운동장","1147010100","1147065000","서울특별시 양천구 신정동 984-1","1167","126.859710","37.523779","187598.753262","547152.569004"
"1129","1147000000","117","서울특별시","양천구","앞산어린이공원","1147010100","1147065000","서울특별시 양천구 중앙로52길 73(신정동)","592","126.858365","37.526437","187480.247957","547447.746797"
"1130","1147000000","118","서울특별시","양천구","양목초등학교 운동장","1147010100","1147065000","서울특별시 양천구 신정동 1001","3016","126.861111","37.523622","187722.505569","547134.885206"
"1131","1147000000","119","서울특별시","양천구","음골어린이공원","1147010100","1147062000","서울특별시 양천구 신정동 936-13","824","126.851218","37.527392","186848.719365","547554.677335"
"1132","1117000000","21","서울특별시","용산구","새나라어린이공원","1117010100","1117051000","서울특별시 용산구 후암동 190-1","1735","126.976448","37.547891","197918.734680","549819.645485"
"1133","1117000000","31","서울특별시","용산구","청파문화공원","1117010800","1117055500","서울특별시 용산구 서계동 226-3","1281","126.968206","37.553615","197190.592860","550455.188488"
"1134","1117000000","32","서울특별시","용산구","돌모루어린이공원","1117011100","1117055500","서울특별시 용산구 원효로97길 50(청파동3가)","1900","126.968502","37.542917","197216.326195","549267.831581"
"1135","1168000000","139","서울특별시","강남구","청담목련어린이공원","1168010400","1168056500","서울특별시 강남구 청담동 51","750","127.049947","37.522957","204415.234996","547053.207794"
"1136","1144000000","82","서울특별시","마포구","잔다리어린이공원","1144012000","1144066000","서울특별시 마포구 동교로 95(서교동)","758","126.912876","37.554635","192301.616133","550571.489815"
"1137","1147000000","120","서울특별시","양천구","홍익어린이공원","1147010100","1147062000","서울특별시 양천구 신정동 896-22","713","126.862256","37.528585","187824.534768","547685.635855"
"1138","1147000000","121","서울특별시","양천구","호돌이어린이공원","1147010100","1147062000","서울특별시 양천구 신정동 326-2","3528","126.861310","37.512456","187738.323026","545895.574320"
"1139","1147000000","122","서울특별시","양천구","목일중학교 운동장","1147010100","1147067000","서울특별시 양천구 신정동 330-2","1878","126.874582","37.513131","188911.779097","545968.871465"
"1140","1147000000","123","서울특별시","양천구","신목고등학교 운동장","1147010100","1147067000","서울특별시 양천구 신정동 330-3","3278","126.873932","37.512461","188854.274483","545894.572370"
"1141","1147000000","124","서울특별시","양천구","양천근린공원","1147010100","1147067000","서울특별시 양천구 목동동로 지하111(신정동)","31066","126.868089","37.517955","188338.540785","546505.099124"
"1142","1147000000","125","서울특별시","양천구","해누리체육공원","1147010100","1147067000","서울특별시 양천구 안양천로 711(신정동)","29149","126.872224","37.511638","188703.115050","545803.413113"
"1143","1147000000","126","서울특별시","양천구","갈산초등학교 운동장","1147010100","1147068000","서울특별시 양천구 신정동 330-10","3528","126.870107","37.511657","188515.918000","545805.866790"
"1144","1147000000","127","서울특별시","양천구","계남초등학교 운동장","1147010100","1147068000","서울특별시 양천구 신정동 325-7","5363","126.860150","37.509732","187635.271762","545593.455223"
