연도,시도,시군구,계약종별,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
2024,서울특별시,강동구,심 야,351334,333068,258194,285949,545302,0,0,0,0,0,0,0
2024,서울특별시,강동구,합 계,155579450,147278766,130746854,125438227,119512599,0,0,0,0,0,0,0
2024,서울특별시,송파구,주택용,87243491,85272711,76415894,76176752,71031955,0,0,0,0,0,0,0
2024,서울특별시,송파구,일반용,149171201,145493653,123195161,117108523,117121359,0,0,0,0,0,0,0
2024,서울특별시,송파구,교육용,8196844,7297612,6141462,5600493,3793288,0,0,0,0,0,0,0
2024,서울특별시,송파구,산업용,18009046,17088100,16967456,16789585,16814964,0,0,0,0,0,0,0
2024,서울특별시,송파구,농사용,266421,251242,195784,194903,191708,0,0,0,0,0,0,0
2024,서울특별시,송파구,가로등,1752564,1655682,1481644,1413718,1277743,0,0,0,0,0,0,0
2024,서울특별시,송파구,심 야,1120479,729659,563133,1597623,2668281,0,0,0,0,0,0,0
2024,서울특별시,송파구,합 계,265760046,257788659,224960534,218881597,212899298,0,0,0,0,0,0,0
2024,서울특별시,중랑구,주택용,49151821,47810711,43043390,42359945,39474577,0,0,0,0,0,0,0
2024,서울특별시,중랑구,일반용,48248523,46360913,39010304,36029919,33774008,0,0,0,0,0,0,0
2024,서울특별시,중랑구,교육용,4207295,3433104,2952058,2400138,1554698,0,0,0,0,0,0,0
2024,서울특별시,중랑구,산업용,6363923,6353801,5444268,5120665,4608259,0,0,0,0,0,0,0
2024,서울특별시,중랑구,농사용,35503,41571,42207,28337,24048,0,0,0,0,0,0,0
2024,서울특별시,중랑구,가로등,1038358,968480,918847,854652,799170,0,0,0,0,0,0,0
2024,서울특별시,중랑구,심 야,367137,358123,288408,225600,179365,0,0,0,0,0,0,0
2024,서울특별시,중랑구,합 계,109412560,105326703,91699482,87019256,80414125,0,0,0,0,0,0,0
2024,서울특별시,노원구,주택용,61255172,59445123,53440275,52778500,48690685,0,0,0,0,0,0,0
2024,서울특별시,노원구,일반용,60414588,57295613,49212852,45788467,43707393,0,0,0,0,0,0,0
2024,서울특별시,노원구,교육용,14893727,12609829,11076824,9533839,7299778,0,0,0,0,0,0,0
2024,서울특별시,노원구,산업용,5784005,6532718,5436932,5677872,5339747,0,0,0,0,0,0,0
2024,서울특별시,노원구,농사용,43322,45045,39869,39264,30060,0,0,0,0,0,0,0
2024,서울특별시,노원구,가로등,1154519,1110209,1052347,999953,932108,0,0,0,0,0,0,0
2024,서울특별시,노원구,심 야,654657,626341,482294,420137,383518,0,0,0,0,0,0,0
2024,서울특별시,노원구,합 계,144199990,137664878,120741393,115238032,106383289,0,0,0,0,0,0,0
2024,서울특별시,서초구,주택용,63734625,61170669,55835062,55131289,52532066,0,0,0,0,0,0,0
2024,서울특별시,서초구,일반용,199230537,189403324,164636121,151866669,145495734,0,0,0,0,0,0,0
2024,서울특별시,서초구,교육용,6583611,5432018,4986254,4158785,3086054,0,0,0,0,0,0,0
2024,서울특별시,서초구,산업용,37219183,35484902,32611673,32133410,31153333,0,0,0,0,0,0,0
2024,서울특별시,서초구,농사용,769252,747640,637066,521672,384347,0,0,0,0,0,0,0
2024,서울특별시,서초구,가로등,1813644,1735753,1580572,1542223,1412888,0,0,0,0,0,0,0
2024,서울특별시,서초구,심 야,646424,625197,507983,804492,1380456,0,0,0,0,0,0,0
2024,서울특별시,서초구,합 계,309997276,294599503,260794731,246158540,235444878,0,0,0,0,0,0,0
2024,서울특별시,양천구,주택용,57162622,56105943,50576133,50251205,46752793,0,0,0,0,0,0,0
2024,서울특별시,양천구,일반용,86828662,84770118,77540217,75241330,72892871,0,0,0,0,0,0,0
2024,서울특별시,양천구,교육용,4676970,4014367,3156544,3285048,1973178,0,0,0,0,0,0,0
2024,서울특별시,양천구,산업용,3491073,4629157,2957120,2875117,2890348,0,0,0,0,0,0,0
2024,서울특별시,양천구,농사용,18456,17845,15771,15265,12349,0,0,0,0,0,0,0
2024,서울특별시,양천구,가로등,1081816,1032624,937266,893006,805636,0,0,0,0,0,0,0
2024,서울특별시,양천구,심 야,320977,327284,270143,241942,287676,0,0,0,0,0,0,0
2024,서울특별시,양천구,합 계,153580576,150897338,135453194,132802913,125614851,0,0,0,0,0,0,0
2024,서울특별시,광진구,주택용,43823283,42525830,37945400,37578286,35068815,0,0,0,0,0,0,0
2024,서울특별시,광진구,일반용,61006991,57180853,49355826,45705667,44415623,0,0,0,0,0,0,0
2024,서울특별시,광진구,교육용,8778536,7328943,7463354,5700859,5810637,0,0,0,0,0,0,0
2024,서울특별시,광진구,산업용,31087207,29637238,27403645,27071962,26163563,0,0,0,0,0,0,0
2024,서울특별시,광진구,농사용,36678,33850,28284,31800,28633,0,0,0,0,0,0,0
2024,서울특별시,광진구,가로등,808247,747655,717442,668270,628978,0,0,0,0,0,0,0
2024,서울특별시,광진구,심 야,650068,600440,499900,530871,944468,0,0,0,0,0,0,0
2024,서울특별시,광진구,합 계,146191010,138054809,123413851,117287715,113060717,0,0,0,0,0,0,0
2024,서울특별시,강북구,주택용,36417290,35710837,31710482,31538649,29009108,0,0,0,0,0,0,0
2024,서울특별시,강북구,일반용,41406959,39344376,32993349,30171935,28505728,0,0,0,0,0,0,0
2024,서울특별시,강북구,교육용,3527098,3142633,2542193,2252816,1598788,0,0,0,0,0,0,0
2024,서울특별시,강북구,산업용,4500614,4411984,4032032,4017012,3741512,0,0,0,0,0,0,0
2024,서울특별시,강북구,농사용,7547,8100,6534,6189,5186,0,0,0,0,0,0,0
2024,서울특별시,강북구,가로등,518645,476670,445490,409207,370726,0,0,0,0,0,0,0
2024,서울특별시,강북구,심 야,583104,560929,458759,340361,180404,0,0,0,0,0,0,0
2024,서울특별시,강북구,합 계,86961257,83655529,72188839,68736169,63411452,0,0,0,0,0,0,0
2024,서울특별시,금천구,주택용,31245266,30262734,27318840,26754477,25186536,0,0,0,0,0,0,0
2024,서울특별시,금천구,일반용,107740965,94704358,87883493,80158407,81669242,0,0,0,0,0,0,0
2024,서울특별시,금천구,교육용,2241915,1885408,1667750,1265590,835531,0,0,0,0,0,0,0
2024,서울특별시,금천구,산업용,19778322,17973290,16370440,15423116,14580541,0,0,0,0,0,0,0
2024,서울특별시,금천구,농사용,4511,4410,3644,2993,2518,0,0,0,0,0,0,0
2024,서울특별시,금천구,가로등,691468,612039,592706,574429,535102,0,0,0,0,0,0,0
2024,서울특별시,금천구,심 야,216650,196481,166280,137653,94446,0,0,0,0,0,0,0
2024,서울특별시,금천구,합 계,161919097,145638720,134003153,124316665,122903916,0,0,0,0,0,0,0
2024,부산광역시,중구,주택용,5548482,5476124,4957075,4879882,4466867,0,0,0,0,0,0,0
2024,부산광역시,중구,일반용,25535423,24408028,22225379,20888814,20066252,0,0,0,0,0,0,0
2024,부산광역시,중구,교육용,373364,389998,315605,346493,244256,0,0,0,0,0,0,0
2024,부산광역시,중구,산업용,594735,597506,494587,501484,435677,0,0,0,0,0,0,0
2024,부산광역시,중구,농사용,7118,6262,5291,4125,3468,0,0,0,0,0,0,0
2024,부산광역시,중구,가로등,403064,380463,370889,341900,321963,0,0,0,0,0,0,0
2024,부산광역시,중구,심 야,591321,577172,482082,368358,175846,0,0,0,0,0,0,0
2024,부산광역시,중구,합 계,33053507,31835553,28850908,27331056,25714329,0,0,0,0,0,0,0
2024,부산광역시,서구,주택용,15120468,14973441,13623032,13416324,12362388,0,0,0,0,0,0,0
2024,부산광역시,서구,일반용,21912756,21019629,19118520,18333589,17555393,0,0,0,0,0,0,0
2024,부산광역시,서구,교육용,1705859,1521988,1429698,1359019,1160995,0,0,0,0,0,0,0
2024,부산광역시,서구,산업용,14045369,12471841,12754104,13277001,12747556,0,0,0,0,0,0,0
2024,부산광역시,서구,농사용,194749,167183,180288,189636,193326,0,0,0,0,0,0,0
2024,부산광역시,서구,가로등,532231,495744,483799,432798,406610,0,0,0,0,0,0,0
2024,부산광역시,서구,심 야,1325922,1279394,1050417,799558,474563,0,0,0,0,0,0,0
2024,부산광역시,서구,합 계,54837354,51929220,48639858,47807925,44900831,0,0,0,0,0,0,0
2024,부산광역시,동구,주택용,12873277,12836119,11529140,11464064,10511061,0,0,0,0,0,0,0
2024,부산광역시,동구,일반용,27770030,26503936,24239949,22497768,21495975,0,0,0,0,0,0,0
2024,부산광역시,동구,교육용,719232,637592,630272,586802,453363,0,0,0,0,0,0,0
2024,부산광역시,동구,산업용,7323951,6835468,6406998,6523515,6590614,0,0,0,0,0,0,0
2024,부산광역시,동구,농사용,3390,2967,2375,1451,1205,0,0,0,0,0,0,0
2024,부산광역시,동구,가로등,433153,410541,399184,355349,325863,0,0,0,0,0,0,0
2024,부산광역시,동구,심 야,1334833,1311803,1108387,840027,466236,0,0,0,0,0,0,0
2024,부산광역시,동구,합 계,50457866,48538426,44316305,42268976,39844317,0,0,0,0,0,0,0
2024,부산광역시,영도구,주택용,14437019,14519816,12768973,13018544,11901466,0,0,0,0,0,0,0
2024,부산광역시,영도구,일반용,15695947,15190793,13618388,12970777,12152952,0,0,0,0,0,0,0
2024,부산광역시,영도구,교육용,3674937,3236865,2944700,3179070,2672422,0,0,0,0,0,0,0
2024,부산광역시,영도구,산업용,11339003,10443200,10041116,9698410,9354042,0,0,0,0,0,0,0
2024,부산광역시,영도구,농사용,5955,5548,4656,5685,7719,0,0,0,0,0,0,0
2024,부산광역시,영도구,가로등,487441,458829,439572,393977,360984,0,0,0,0,0,0,0
2024,부산광역시,영도구,심 야,1020092,1025877,890022,726448,447894,0,0,0,0,0,0,0
2024,부산광역시,영도구,합 계,46660394,44880928,40707427,39992911,36897479,0,0,0,0,0,0,0
2024,부산광역시,부산진구,주택용,53211199,53021499,48537631,48628482,45120777,0,0,0,0,0,0,0
2024,부산광역시,부산진구,일반용,74545719,72031642,64631467,61342077,58989517,0,0,0,0,0,0,0
2024,부산광역시,부산진구,교육용,5732612,4811591,4743622,4927142,3670605,0,0,0,0,0,0,0
2024,부산광역시,부산진구,산업용,20887119,18930844,19037149,17852255,18004505,0,0,0,0,0,0,0
2024,부산광역시,부산진구,농사용,48472,51161,43945,42525,41605,0,0,0,0,0,0,0
2024,부산광역시,부산진구,가로등,1225578,1146078,1111407,1015881,976933,0,0,0,0,0,0,0
2024,부산광역시,부산진구,심 야,2304423,2246846,1850069,1467518,948510,0,0,0,0,0,0,0
2024,부산광역시,부산진구,합 계,157955122,152239661,139955290,135275880,127752452,0,0,0,0,0,0,0
2024,부산광역시,동래구,주택용,36744997,36857645,33738363,33963302,31517206,0,0,0,0,0,0,0
2024,부산광역시,동래구,일반용,41699613,40024157,35880174,33804728,32494398,0,0,0,0,0,0,0
2024,부산광역시,동래구,교육용,1923886,1621265,1659512,1593482,1236960,0,0,0,0,0,0,0
2024,부산광역시,동래구,산업용,8322521,8113884,8020279,7886894,8023282,0,0,0,0,0,0,0
2024,부산광역시,동래구,농사용,25745,25759,22443,20619,18856,0,0,0,0,0,0,0
2024,부산광역시,동래구,가로등,712592,682673,643963,588815,553856,0,0,0,0,0,0,0
2024,부산광역시,동래구,심 야,1757811,1686850,1360111,937685,463516,0,0,0,0,0,0,0
2024,부산광역시,동래구,합 계,91187165,89012233,81324845,78795525,74308074,0,0,0,0,0,0,0
2024,부산광역시,남구,주택용,36290881,35857615,33147620,33537507,31203073,0,0,0,0,0,0,0
2024,부산광역시,남구,일반용,38491874,36559602,33851209,32653028,31341571,0,0,0,0,0,0,0
2024,부산광역시,남구,교육용,7377454,6854035,6647010,6015636,5090215,0,0,0,0,0,0,0
2024,부산광역시,남구,산업용,44473816,41131361,42584251,41230162,43880644,0,0,0,0,0,0,0
2024,부산광역시,남구,농사용,102766,98250,89714,92469,93358,0,0,0,0,0,0,0
2024,부산광역시,남구,가로등,929071,887805,842712,802385,764480,0,0,0,0,0,0,0
2024,부산광역시,남구,심 야,983772,967226,841689,856829,696576,0,0,0,0,0,0,0
2024,부산광역시,남구,합 계,128649634,122355894,118004205,115188016,113069917,0,0,0,0,0,0,0
2024,부산광역시,북구,주택용,35794664,35630174,32127238,32339310,29908549,0,0,0,0,0,0,0
2024,부산광역시,북구,일반용,31402022,30378656,26767282,25273737,23906290,0,0,0,0,0,0,0
2024,부산광역시,북구,교육용,2483055,2203883,2328893,2158068,1627622,0,0,0,0,0,0,0
2024,부산광역시,북구,산업용,8970766,8714731,8424594,8718581,8535851,0,0,0,0,0,0,0
2024,부산광역시,북구,농사용,76155,76585,67789,66439,57910,0,0,0,0,0,0,0
2024,부산광역시,북구,가로등,858581,818772,777711,728897,684708,0,0,0,0,0,0,0
2024,부산광역시,북구,심 야,1178249,1147534,930793,624715,286252,0,0,0,0,0,0,0
2024,부산광역시,북구,합 계,80763492,78970335,71424300,69909747,65007182,0,0,0,0,0,0,0
2024,부산광역시,해운대구,주택용,58471118,58517996,53311274,54125594,50775640,0,0,0,0,0,0,0
2024,부산광역시,해운대구,일반용,80634049,75460318,70828862,67235116,67533987,0,0,0,0,0,0,0
2024,부산광역시,해운대구,교육용,3705217,3242823,3164519,3203846,2612170,0,0,0,0,0,0,0
2024,부산광역시,해운대구,산업용,11768690,11194052,11218142,10528354,10423708,0,0,0,0,0,0,0
2024,부산광역시,해운대구,농사용,132460,135864,140246,152476,163794,0,0,0,0,0,0,0
2024,부산광역시,해운대구,가로등,1411955,1356042,1329326,1248092,1216423,0,0,0,0,0,0,0
2024,부산광역시,해운대구,심 야,1308533,1278480,1101095,845829,1369243,0,0,0,0,0,0,0
2024,부산광역시,해운대구,합 계,157432022,151185575,141093464,137339307,134094965,0,0,0,0,0,0,0
2024,부산광역시,사하구,주택용,39153416,38811563,35081930,35085118,32419649,0,0,0,0,0,0,0
2024,부산광역시,사하구,일반용,39319896,38245692,33954845,32616995,30649916,0,0,0,0,0,0,0
2024,부산광역시,사하구,교육용,4100895,3552034,3655460,3330463,2789380,0,0,0,0,0,0,0
2024,부산광역시,사하구,산업용,114036908,107552112,114579558,118237762,113636059,0,0,0,0,0,0,0
2024,부산광역시,사하구,농사용,285060,276776,256561,270754,342930,0,0,0,0,0,0,0
2024,부산광역시,사하구,가로등,1026640,980100,951824,855721,808099,0,0,0,0,0,0,0
2024,부산광역시,사하구,심 야,1531526,1488245,1239788,929131,492542,0,0,0,0,0,0,0
